Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
6.29,0.15,4.21,3
6.3,0.167,4.205,3
6.31,0.144,4.198,3
6.32,0.165,4.218,3
6.33,0.132,4.257,3
6.34,0.157,4.168,3
6.35,0.126,4.227,3
6.36,0.17,4.2,3
6.37,0.13,4.257,3
6.38,0.161,4.193,3
6.39,0.14,4.225,3
6.4,0.166,4.207,3
6.41,0.15,4.263,3
6.42,0.154,4.198,3
6.43,0.166,4.215,3
6.44,0.151,4.205,3
6.45,0.163,4.227,3
6.46,0.141,4.23,3
6.47,0.163,4.175,3
6.48,0.168,4.25,3
6.49,0.168,4.193,3
6.5,0.126,4.23,3
6.51,-0.449,4.128,0
6.52,-0.389,3.465,0
6.53,-0.343,2.962,0
6.54,-0.303,2.61,0
6.55,-0.27,2.338,0
6.56,-0.241,2.13,0
6.57,-0.22,1.92,0
6.58,-0.209,1.817,0
6.59,-0.189,1.673,0
6.6,-0.173,1.528,0
6.61,-0.162,1.417,0
6.62,-0.147,1.312,0
6.63,-0.138,1.227,0
6.64,-0.122,1.117,0
6.65,-0.116,1.038,0
6.66,-0.109,0.957,0
6.67,-0.099,0.873,0
6.68,-0.091,0.817,0
6.69,-0.084,0.752,0
6.7,-0.076,0.678,0
6.71,-0.068,0.618,0
6.72,-0.064,0.575,0
6.73,-0.06,0.538,0
6.74,-0.057,0.487,0
6.75,-0.049,0.44,0
6.76,-0.042,0.39,0
6.77,-0.038,0.358,0
6.78,-0.034,0.322,0
6.79,-0.031,0.287,0
6.8,-0.026,0.252,0
6.81,-0.023,0.22,0
6.82,-0.019,0.185,0
6.83,-0.015,0.157,0
6.84,-0.012,0.127,0
6.85,-0.009,0.105,0
6.86,-0.006,0.078,0
6.87,-0.004,0.058,0
6.88,-0.001,0.032,0
6.89,0.001,0.025,0
6.9,0,0.022,0
6.91,0.001,0.025,0
6.92,0.001,0.025,0
6.93,0.001,0.025,0
6.94,0.001,0.025,0
6.95,0.001,0.025,0
6.96,0.001,0.025,0
6.97,0.001,0.025,0
6.98,0.001,0.025,0
6.99,0.001,0.025,0
7,-0.001,0.022,0
7.01,0.001,0.022,0
7.02,0.001,0.025,0
7.03,0,0.022,0
7.04,0.001,0.025,0
7.05,0,0.022,0
7.06,0.001,0.025,0
7.07,0.001,0.022,0
7.08,0,0.025,0
7.09,0,0.022,0
7.1,0,0.025,0
7.11,0.001,0.022,0
7.12,0.001,0.025,0
7.13,0.001,0.022,0
7.14,0,0.025,0
7.15,-0.001,0.022,0
7.16,0.001,0.025,0
7.17,0.001,0.025,0
7.18,0,0.025,0
7.19,0,0.022,0
7.2,0,0.022,0
7.21,0.001,0.025,0
7.22,0,0.022,0
7.23,0,0.025,0
7.24,0,0.022,0
7.25,-0.001,0.022,0
7.26,0,0.022,0
7.27,0,0.022,0
7.28,0,0.022,0
7.29,0,0.025,0
7.3,-0.001,0.022,0
7.31,0,0.025,0
7.32,0,0.022,0
7.33,0,0.022,0
7.34,-0.001,0.022,0
7.35,-0.001,0.022,0
7.36,-0.001,0.02,0
7.37,0,0.022,0
7.38,-0.001,0.025,0
7.39,0.001,0.022,0
7.4,-0.001,0.022,0
7.41,0,0.022,0
7.42,0,0.02,0
7.43,-0.001,0.022,0
7.44,0.001,0.022,0
