Tiempo ,CONTROL,VELOCIDA,REFERENC
2.775,2.901,4.003,4
2.78,2.908,3.995,4
2.785,2.846,4.057,4
2.79,2.858,4.043,4
2.795,2.925,3.972,4
2.8,2.944,3.955,4
2.805,2.88,4.023,4
2.81,2.881,4.02,4
2.815,2.912,3.988,4
2.82,2.885,4.015,4
2.825,2.859,4.04,4
2.83,2.902,3.995,4
2.835,2.947,3.95,4
2.84,2.898,4.003,4
2.845,2.893,4.008,4
2.85,2.915,3.985,4
2.855,2.918,3.983,4
2.86,2.844,4.057,4
2.865,2.858,4.04,4
2.87,2.913,3.983,4
2.875,2.932,3.965,4
2.88,2.891,4.008,4
2.885,2.898,4,4
2.89,2.923,3.975,4
2.895,2.887,4.012,4
2.9,2.862,4.037,4
2.905,2.902,3.995,4
2.91,2.915,3.983,4
2.915,2.878,4.02,4
2.92,2.9,3.997,4
2.925,2.93,3.967,4
2.93,2.939,3.96,4
2.935,2.859,4.043,4
2.94,2.854,4.045,4
2.945,2.896,4,4
2.95,2.899,3.997,4
2.955,2.877,4.02,4
2.96,2.915,3.98,4
2.965,2.954,3.943,4
2.97,2.895,4.005,4
2.975,2.862,4.037,4
2.98,2.892,4.005,4
2.985,2.907,3.99,4
2.99,2.843,4.055,4
2.995,2.874,4.02,4
3,2.933,3.96,4
3.005,2.933,3.963,4
3.01,2.863,4.035,4
3.015,2.868,4.027,4
3.02,2.902,3.993,4
3.025,2.875,4.02,4
3.03,2.863,4.03,4
3.035,2.904,3.988,4
3.04,2.932,3.96,4
3.045,2.887,4.008,4
3.05,2.889,4.005,4
3.055,2.911,3.983,4
3.06,2.905,3.99,4
3.065,2.836,4.06,4
3.07,2.85,4.043,4
3.075,2.897,3.993,4
3.08,2.93,3.96,4
3.085,2.887,4.005,4
3.09,2.892,4,4
3.095,2.927,3.965,4
3.1,2.899,3.995,4
3.105,2.855,4.04,4
3.11,2.897,3.995,4
3.115,2.91,3.983,4
3.12,2.858,4.035,4
3.125,2.874,4.017,4
3.13,2.933,3.957,4
3.135,2.95,3.943,4
3.14,2.874,4.023,4
3.145,2.867,4.027,4
3.15,2.901,3.993,4
3.155,2.881,4.012,4
3.16,2.855,4.037,4
3.165,2.903,3.988,4
3.17,2.939,3.952,4
3.175,2.869,4.025,4
3.18,2.888,4.005,4
3.185,2.917,3.975,4
3.19,2.904,3.99,4
3.195,2.83,4.065,4
3.2,2.856,4.035,4
3.205,2.894,3.995,4
3.21,2.906,3.983,4
3.215,2.882,4.008,4
3.22,2.897,3.993,4
3.225,2.942,3.947,4
3.23,2.893,4,4
3.235,2.856,4.037,4
3.24,2.881,4.01,4
3.245,2.905,3.985,4
3.25,2.851,4.04,4
3.255,2.861,4.027,4
3.26,2.927,3.96,4
3.265,2.944,3.945,4
3.27,2.865,4.027,4
