Tiempo ,CONTROL,PID,ANGULO,REFERENC,PERTURBA
6.12,0.329,0.329,-0.309,0,0
6.14,0.35,0.35,-0.322,0,0
6.16,0.369,0.369,-0.332,0,0
6.18,0.385,0.385,-0.339,0,0
6.2,0.397,0.397,-0.341,0,0
6.22,0.407,0.407,-0.341,0,0
6.24,0.413,0.413,-0.337,0,0
6.26,0.415,0.415,-0.329,0,0
6.28,0.414,0.414,-0.316,0,0
6.3,0.408,0.408,-0.301,0,0
6.32,0.399,0.399,-0.281,0,0
6.34,0.386,0.386,-0.259,0,0
6.36,0.371,0.371,-0.234,0,0
6.38,0.35,0.35,-0.205,0,0
6.4,0.327,0.327,-0.173,0,0
6.42,0.301,0.301,-0.14,0,0
6.44,0.27,0.27,-0.103,0,0
6.46,0.239,0.239,-0.067,0,0
6.48,0.204,0.204,-0.028,0,0
6.5,0.169,0.169,0.01,0,0
6.52,0.132,0.132,0.048,0,0
6.54,0.095,0.095,0.085,0,0
6.56,0.057,0.057,0.122,0,0
6.58,0.019,0.019,0.157,0,0
6.6,0,-0.018,0.19,0,0
6.62,0,-0.054,0.221,0,0
6.64,0,-0.088,0.249,0,0
6.66,0,-0.122,0.275,0,0
6.68,0,-0.153,0.298,0,0
6.7,0,-0.181,0.317,0,0
6.72,0,-0.207,0.333,0,0
6.74,0,-0.23,0.345,0,0
6.76,0,-0.251,0.354,0,0
6.78,0,-0.268,0.359,0,0
6.8,0,-0.282,0.361,0,0
6.82,0,-0.292,0.359,0,0
6.84,0,-0.299,0.354,0,0
6.86,0,-0.303,0.345,0,0
6.88,0,-0.302,0.331,0,0
6.9,0,-0.298,0.315,0,0
6.92,0,-0.29,0.296,0,0
6.94,0,-0.279,0.274,0,0
6.96,0,-0.263,0.247,0,0
6.98,0,-0.245,0.219,0,0
7,0,-0.224,0.19,0,0
7.02,0,-0.199,0.157,0,0
7.04,0,-0.172,0.122,0,0
7.06,0,-0.141,0.085,0,0
7.08,0,-0.108,0.047,0,0
7.1,0,-0.072,0.007,0,0
7.12,0,-0.036,-0.032,0,0
7.14,0.003,0.003,-0.072,0,0
7.16,0.043,0.043,-0.112,0,0
7.18,0.084,0.084,-0.152,0,0
7.2,0.125,0.125,-0.191,0,0
7.22,0.167,0.167,-0.229,0,0
7.24,0.208,0.208,-0.266,0,0
7.26,0.251,0.251,-0.302,0,0
7.28,0.291,0.291,-0.336,0,0
7.3,0.331,0.331,-0.367,0,0
7.32,0.369,0.369,-0.395,0,0
7.34,0.405,0.405,-0.421,0,0
7.36,0.438,0.438,-0.442,0,0
7.38,0.469,0.469,-0.461,0,0
7.4,0.495,0.495,-0.473,0,0
7.42,0.517,0.517,-0.482,0,0
7.44,0.535,0.535,-0.486,0,0
7.46,0.549,0.549,-0.484,0,0
7.48,0.557,0.557,-0.477,0,0
7.5,0.559,0.559,-0.463,0,0
7.52,0.557,0.557,-0.446,0,0
7.54,0.548,0.548,-0.421,0,0
7.56,0.533,0.533,-0.391,0,0
7.58,0.513,0.513,-0.357,0,0
7.6,0.488,0.488,-0.318,0,0
7.62,0.457,0.457,-0.274,0,0
7.64,0.422,0.422,-0.227,0,0
7.66,0.381,0.381,-0.177,0,0
7.68,0.336,0.336,-0.123,0,0
7.7,0.288,0.288,-0.067,0,0
7.72,0.236,0.236,-0.009,0,0
7.74,0.182,0.182,0.048,0,0
7.76,0.126,0.126,0.106,0,0
7.78,0.068,0.068,0.164,0,0
7.8,0.01,0.01,0.219,0,0
7.82,0,-0.046,0.272,0,0
7.84,0,-0.101,0.321,0,0
7.86,0,-0.156,0.368,0,0
7.88,0,-0.21,0.411,0,0
7.9,0,-0.26,0.45,0,0
7.92,0,-0.307,0.485,0,0
7.94,0,-0.351,0.514,0,0
7.96,0,-0.393,0.541,0,0
7.98,0,-0.428,0.56,0,0
8,0,-0.461,0.575,0,0
8.02,0,-0.488,0.584,0,0
8.04,0,-0.512,0.589,0,0
