Tiempo ;Entrada;Angulo;Posicion
9.48;0;0.565;0.267
9.5;0;0.567;0.267
9.52;0;0.559;0.267
9.54;0;0.543;0.267
9.56;0;0.518;0.267
9.58;0;0.489;0.267
9.6;0;0.45;0.267
9.62;0;0.407;0.267
9.64;0;0.356;0.267
9.66;0;0.3;0.267
9.68;0;0.241;0.267
9.7;0;0.18;0.267
9.72;0;0.113;0.267
9.74;0;0.047;0.267
9.76;0;-0.021;0.267
9.78;0;-0.087;0.267
9.8;0;-0.154;0.267
9.82;0;-0.216;0.267
9.84;0;-0.276;0.267
9.86;0;-0.332;0.267
9.88;0;-0.384;0.267
9.9;0;-0.431;0.267
9.92;0;-0.471;0.267
9.94;0;-0.506;0.267
9.96;0;-0.532;0.267
9.98;0;-0.55;0.267
10;0;-0.562;0.267
10.02;0;-0.567;0.267
10.04;0;-0.564;0.267
10.06;0;-0.552;0.267
10.08;0;-0.531;0.267
10.1;0;-0.504;0.267
10.12;0;-0.469;0.267
10.14;0;-0.428;0.267
10.16;0;-0.38;0.267
10.18;0;-0.328;0.267
10.2;0;-0.271;0.267
10.22;0;-0.209;0.267
10.24;0;-0.147;0.267
10.26;0;-0.08;0.267
10.28;0;-0.014;0.267
10.3;0;0.052;0.267
10.32;0;0.119;0.267
10.34;0;0.183;0.267
10.36;0;0.244;0.267
10.38;0;0.302;0.267
10.4;0;0.356;0.267
10.42;0;0.405;0.267
10.44;0;0.449;0.267
10.46;0;0.485;0.267
10.48;0;0.515;0.267
10.5;0;0.538;0.267
10.52;0;0.552;0.267
10.54;0;0.559;0.267
10.56;0;0.56;0.267
10.58;0;0.552;0.267
10.6;0;0.536;0.267
10.62;0;0.511;0.267
10.64;0;0.48;0.267
10.66;0;0.442;0.267
10.68;0;0.398;0.267
10.7;0;0.349;0.267
10.72;0;0.295;0.267
10.74;0;0.236;0.267
10.76;0;0.173;0.267
10.78;0;0.108;0.267
10.8;0;0.042;0.267
10.82;0;-0.024;0.267
10.84;0;-0.091;0.267
10.86;0;-0.155;0.267
10.88;0;-0.218;0.267
10.9;0;-0.278;0.267
10.92;0;-0.332;0.267
10.94;0;-0.382;0.267
10.96;0;-0.429;0.267
10.98;0;-0.468;0.267
11;0;-0.501;0.267
11.02;0;-0.525;0.267
11.04;0;-0.545;0.267
11.06;0;-0.555;0.267
11.08;0;-0.56;0.267
11.1;0;-0.555;0.267
11.12;0;-0.543;0.267
11.14;0;-0.524;0.267
11.16;0;-0.496;0.267
11.18;0;-0.461;0.267
11.2;0;-0.421;0.267
11.22;0;-0.374;0.267
11.24;0;-0.321;0.267
11.26;0;-0.264;0.267
11.28;0;-0.204;0.267
11.3;0;-0.141;0.267
11.32;0;-0.077;0.267
11.34;0;-0.01;0.267
11.36;0;0.056;0.267
11.38;0;0.12;0.267
11.4;0;0.183;0.267
11.42;0;0.244;0.267
11.44;0;0.302;0.267
11.46;0;0.354;0.267
11.48;0;0.403;0.267
11.5;0;0.445;0.267
11.52;0;0.482;0.267
11.54;0;0.51;0.267
11.56;0;0.532;0.267
11.58;0;0.546;0.267
11.6;0;0.552;0.267
11.62;0;0.553;0.267
11.64;0;0.545;0.267
11.66;0;0.527;0.267
11.68;0;0.503;0.267
11.7;0;0.471;0.267
11.72;0;0.435;0.267
11.74;0;0.391;0.267
11.76;0;0.342;0.267
11.78;0;0.286;0.267
11.8;0;0.229;0.267
11.82;0;0.166;0.267
11.84;0;0.103;0.267
11.86;0;0.038;0.267
11.88;0;-0.028;0.267
11.9;0;-0.094;0.267
11.92;0;-0.157;0.267
11.94;0;-0.218;0.267
11.96;0;-0.278;0.267
11.98;0;-0.332;0.267
12;0;-0.38;0.267
12.02;0;-0.426;0.267
12.04;0;-0.464;0.267
12.06;0;-0.496;0.267
12.08;0;-0.522;0.267
12.1;0;-0.539;0.267
12.12;0;-0.55;0.267
12.14;0;-0.552;0.267
12.16;0;-0.548;0.267
12.18;0;-0.536;0.267
12.2;0;-0.515;0.267
12.22;0;-0.487;0.267
12.24;0;-0.454;0.267
12.26;0;-0.412;0.267
12.28;0;-0.367;0.267
12.3;0;-0.314;0.267
12.32;0;-0.258;0.267
12.34;0;-0.197;0.267
12.36;0;-0.134;0.267
12.38;0;-0.072;0.267
12.4;0;-0.007;0.267
12.42;0;0.059;0.267
12.44;0;0.124;0.267
12.46;0;0.185;0.267
12.48;0;0.244;0.267
12.5;0;0.3;0.267
12.52;0;0.353;0.267
12.54;0;0.401;0.267
12.56;0;0.442;0.267
12.58;0;0.476;0.267
12.6;0;0.506;0.267
12.62;0;0.525;0.267
12.64;0;0.539;0.267
12.66;0;0.546;0.267
12.68;0;0.546;0.267
12.7;0;0.538;0.267
12.72;0;0.518;0.267
12.74;0;0.496;0.267
