Tiempo ,ANGULO,ENTRADA,ESTIMULO,PERTURBA
7.02,0.054,0.32,0.32,0
7.04,0.054,0.323,0.323,0
7.06,0.055,0.326,0.326,0
7.08,0.057,0.33,0.33,0
7.1,0.057,0.333,0.333,0
7.12,0.059,0.336,0.336,0
7.14,0.061,0.339,0.339,0
7.16,0.062,0.342,0.342,0
7.18,0.064,0.346,0.346,0
7.2,0.066,0.349,0.349,0
7.22,0.069,0.352,0.352,0
7.24,0.071,0.355,0.355,0
7.26,0.075,0.358,0.358,0
7.28,0.076,0.362,0.362,0
7.3,0.08,0.365,0.365,0
7.32,0.082,0.368,0.368,0
7.34,0.085,0.371,0.371,0
7.36,0.089,0.374,0.374,0
7.38,0.092,0.378,0.378,0
7.4,0.096,0.381,0.381,0
7.42,0.099,0.384,0.384,0
7.44,0.102,0.387,0.387,0
7.46,0.106,0.39,0.39,0
7.48,0.109,0.394,0.394,0
7.5,0.113,0.397,0.397,0
7.52,0.118,0.4,0.4,0
7.54,0.122,0.403,0.403,0
7.56,0.125,0.406,0.406,0
7.58,0.129,0.41,0.41,0
7.6,0.132,0.413,0.413,0
7.62,0.136,0.416,0.416,0
7.64,0.141,0.419,0.419,0
7.66,0.144,0.422,0.422,0
7.68,0.148,0.426,0.426,0
7.7,0.151,0.429,0.429,0
7.72,0.155,0.432,0.432,0
7.74,0.157,0.435,0.435,0
7.76,0.16,0.438,0.438,0
7.78,0.164,0.442,0.442,0
7.8,0.165,0.445,0.445,0
7.82,0.169,0.448,0.448,0
7.84,0.171,0.451,0.451,0
7.86,0.174,0.454,0.454,0
7.88,0.176,0.458,0.458,0
7.9,0.178,0.461,0.461,0
7.92,0.179,0.464,0.464,0
7.94,0.183,0.467,0.467,0
7.96,0.185,0.47,0.47,0
7.98,0.186,0.474,0.474,0
8,0.188,0.477,0.477,0
8.02,0.19,0.48,0.48,0
8.04,0.192,0.483,0.483,0
8.06,0.193,0.486,0.486,0
8.08,0.195,0.49,0.49,0
8.1,0.197,0.493,0.493,0
8.12,0.198,0.496,0.496,0
8.14,0.2,0.499,0.499,0
8.16,0.202,0.502,0.502,0
8.18,0.204,0.506,0.506,0
8.2,0.205,0.509,0.509,0
8.22,0.207,0.512,0.512,0
8.24,0.209,0.515,0.515,0
8.26,0.211,0.518,0.518,0
8.28,0.212,0.522,0.522,0
8.3,0.214,0.525,0.525,0
8.32,0.216,0.528,0.528,0
8.34,0.219,0.531,0.531,0
8.36,0.221,0.534,0.534,0
8.38,0.223,0.538,0.538,0
8.4,0.225,0.541,0.541,0
8.42,0.226,0.544,0.544,0
8.44,0.23,0.547,0.547,0
8.46,0.232,0.55,0.55,0
8.48,0.233,0.554,0.554,0
8.5,0.237,0.557,0.557,0
8.52,0.239,0.56,0.56,0
8.54,0.24,0.563,0.563,0
8.56,0.242,0.566,0.566,0
8.58,0.244,0.57,0.57,0
8.6,0.247,0.573,0.573,0
8.62,0.249,0.576,0.576,0
8.64,0.253,0.579,0.579,0
8.66,0.256,0.582,0.582,0
8.68,0.258,0.586,0.586,0
8.7,0.261,0.589,0.589,0
8.72,0.265,0.592,0.592,0
8.74,0.268,0.595,0.595,0
8.76,0.272,0.598,0.598,0
8.78,0.275,0.602,0.602,0
8.8,0.279,0.605,0.605,0
8.82,0.282,0.608,0.608,0
8.84,0.286,0.611,0.611,0
8.86,0.289,0.614,0.614,0
8.88,0.293,0.618,0.618,0
8.9,0.296,0.621,0.621,0
8.92,0.301,0.624,0.624,0
8.94,0.305,0.627,0.627,0
8.96,0.308,0.63,0.63,0
8.98,0.312,0.634,0.634,0
9,0.317,0.637,0.637,0
9.02,0.321,0.64,0.64,0
9.04,0.324,0.643,0.643,0
9.06,0.329,0.646,0.646,0
9.08,0.333,0.65,0.65,0
9.1,0.336,0.653,0.653,0
9.12,0.34,0.656,0.656,0
9.14,0.345,0.659,0.659,0
9.16,0.349,0.662,0.662,0
9.18,0.352,0.666,0.666,0
9.2,0.356,0.669,0.669,0
9.22,0.359,0.672,0.672,0
9.24,0.363,0.675,0.675,0
9.26,0.366,0.678,0.678,0
9.28,0.368,0.682,0.682,0
9.3,0.371,0.685,0.685,0
9.32,0.375,0.688,0.688,0
9.34,0.378,0.691,0.691,0
9.36,0.382,0.694,0.694,0
9.38,0.383,0.698,0.698,0
9.4,0.387,0.701,0.701,0
9.42,0.39,0.704,0.704,0
9.44,0.394,0.707,0.707,0
9.46,0.396,0.71,0.71,0
9.48,0.399,0.714,0.714,0
9.5,0.403,0.717,0.717,0
9.52,0.406,0.72,0.72,0
9.54,0.41,0.723,0.723,0
9.56,0.411,0.726,0.726,0
9.58,0.415,0.73,0.73,0
9.6,0.418,0.733,0.733,0
9.62,0.422,0.736,0.736,0
9.64,0.424,0.739,0.739,0
9.66,0.427,0.742,0.742,0
9.68,0.431,0.746,0.746,0
9.7,0.434,0.749,0.749,0
9.72,0.438,0.752,0.752,0
9.74,0.441,0.755,0.755,0
9.76,0.443,0.758,0.758,0
9.78,0.446,0.762,0.762,0
9.8,0.45,0.765,0.765,0
9.82,0.453,0.768,0.768,0
9.84,0.459,0.771,0.771,0
9.86,0.462,0.774,0.774,0
9.88,0.466,0.778,0.778,0
9.9,0.469,0.781,0.781,0
9.92,0.473,0.784,0.784,0
9.94,0.476,0.787,0.787,0
9.96,0.481,0.79,0.79,0
9.98,0.485,0.794,0.794,0
10,0.488,0.797,0.797,0
10.02,0.492,0.8,0.8,0
10.04,0.495,0.8,0.8,0
10.06,0.5,0.8,0.8,0
10.08,0.504,0.8,0.8,0
10.1,0.507,0.8,0.8,0
10.12,0.513,0.8,0.8,0
10.14,0.516,0.8,0.8,0
10.16,0.521,0.8,0.8,0
10.18,0.525,0.8,0.8,0
10.2,0.528,0.8,0.8,0
10.22,0.534,0.8,0.8,0
10.24,0.537,0.8,0.8,0
10.26,0.541,0.8,0.8,0
10.28,0.544,0.8,0.8,0
10.3,0.548,0.8,0.8,0
10.32,0.549,0.8,0.8,0
10.34,0.553,0.8,0.8,0
10.36,0.555,0.8,0.8,0
10.38,0.558,0.8,0.8,0
10.4,0.56,0.8,0.8,0
10.42,0.562,0.8,0.8,0
10.44,0.562,0.8,0.8,0
10.46,0.563,0.8,0.8,0
10.48,0.563,0.8,0.8,0
10.5,0.563,0.8,0.8,0
10.52,0.563,0.8,0.8,0
10.54,0.563,0.8,0.8,0
10.56,0.562,0.8,0.8,0
10.58,0.562,0.8,0.8,0
10.6,0.56,0.8,0.8,0
10.62,0.558,0.8,0.8,0
10.64,0.556,0.8,0.8,0
10.66,0.555,0.8,0.8,0
10.68,0.553,0.8,0.8,0
10.7,0.549,0.8,0.8,0
10.72,0.548,0.8,0.8,0
10.74,0.544,0.8,0.8,0
10.76,0.541,0.8,0.8,0
10.78,0.539,0.8,0.8,0
10.8,0.535,0.8,0.8,0
10.82,0.532,0.8,0.8,0
10.84,0.528,0.8,0.8,0
10.86,0.525,0.8,0.8,0
10.88,0.521,0.8,0.8,0
10.9,0.518,0.8,0.8,0
10.92,0.514,0.8,0.8,0
10.94,0.511,0.8,0.8,0
10.96,0.507,0.8,0.8,0
10.98,0.504,0.8,0.8,0
11,0.5,0.8,0.8,0
11.02,0.497,0.8,0.8,0
11.04,0.495,0.8,0.8,0
11.06,0.492,0.8,0.8,0
11.08,0.49,0.8,0.8,0
11.1,0.486,0.8,0.8,0
11.12,0.485,0.8,0.8,0
11.14,0.483,0.8,0.8,0
11.16,0.481,0.8,0.8,0
11.18,0.479,0.8,0.8,0
11.2,0.478,0.8,0.8,0
11.22,0.476,0.8,0.8,0
11.24,0.476,0.8,0.8,0
11.26,0.474,0.8,0.8,0
11.28,0.474,0.8,0.8,0
11.3,0.474,0.8,0.8,0
11.32,0.474,0.8,0.8,0
11.34,0.474,0.8,0.8,0
11.36,0.476,0.8,0.8,0
11.38,0.476,0.8,0.8,0
11.4,0.478,0.8,0.8,0
11.42,0.479,0.8,0.8,0
11.44,0.481,0.8,0.8,0
11.46,0.483,0.8,0.8,0
11.48,0.485,0.8,0.8,0
11.5,0.486,0.8,0.8,0
11.52,0.49,0.8,0.8,0
11.54,0.492,0.8,0.8,0
11.56,0.495,0.8,0.8,0
11.58,0.497,0.8,0.8,0
11.6,0.5,0.8,0.8,0
11.62,0.504,0.8,0.8,0
11.64,0.506,0.8,0.8,0
11.66,0.509,0.8,0.8,0
11.68,0.513,0.8,0.8,0
11.7,0.516,0.8,0.8,0
11.72,0.52,0.8,0.8,0
11.74,0.521,0.8,0.8,0
11.76,0.525,0.8,0.8,0
11.78,0.528,0.8,0.8,0
11.8,0.53,0.8,0.8,0
11.82,0.534,0.8,0.8,0
11.84,0.535,0.8,0.8,0
11.86,0.537,0.8,0.8,0
11.88,0.539,0.8,0.8,0
11.9,0.541,0.8,0.8,0
11.92,0.542,0.8,0.8,0
11.94,0.542,0.8,0.8,0
11.96,0.544,0.8,0.8,0
11.98,0.544,0.8,0.8,0
12,0.546,0.8,0.8,0
12.02,0.546,0.8,0.8,0
12.04,0.546,0.8,0.8,0
12.06,0.546,0.8,0.8,0
12.08,0.544,0.8,0.8,0
12.1,0.544,0.8,0.8,0
12.12,0.544,0.8,0.8,0
12.14,0.542,0.8,0.8,0
12.16,0.541,0.8,0.8,0
12.18,0.541,0.8,0.8,0
12.2,0.539,0.8,0.8,0
12.22,0.537,0.8,0.8,0
12.24,0.535,0.8,0.8,0
12.26,0.534,0.8,0.8,0
12.28,0.532,0.8,0.8,0
12.3,0.528,0.8,0.8,0
12.32,0.527,0.8,0.8,0
12.34,0.525,0.8,0.8,0
12.36,0.521,0.8,0.8,0
12.38,0.52,0.8,0.8,0
12.4,0.516,0.8,0.8,0
12.42,0.514,0.8,0.8,0
12.44,0.513,0.8,0.8,0
12.46,0.509,0.8,0.8,0
12.48,0.507,0.8,0.8,0
12.5,0.506,0.8,0.8,0
12.52,0.502,0.8,0.8,0
12.54,0.5,0.8,0.8,0
12.56,0.499,0.8,0.8,0
12.58,0.497,0.8,0.8,0
